PROBLEM_FILE = /tmp/30133.tmp/sample.tsp
1987783 0.016019
1917110 0.016040
1885904 0.016045
1885743 0.016050
1466272 0.016059
1458923 0.016064
1455909 0.016074
1448576 0.016077
1393690 0.016082
1382693 0.016085
1379425 0.016120
1345650 0.016125
1275808 0.016135
1221703 0.016143
1210658 0.016146
1196684 0.016150
1193029 0.016154
1190719 0.016166
1190487 0.016170
1189763 0.016174
1142071 0.016179
1138736 0.016183
1121179 0.016190
1096430 0.016195
1080261 0.016199
1075143 0.016203
1055156 0.016207
1047569 0.016212
1047409 0.016217
1044485 0.016224
1033440 0.016227
1033160 0.016233
1029548 0.016251
1025868 0.016259
1007753 0.016266
1007521 0.016269
1001633 0.016275
998898 0.016289
995326 0.016605
994166 0.016631
993864 0.016654
993862 0.016776
993418 0.018193
992776 0.018254
992501 0.020983
Successes/Runs = 0/10000 
Cost.min = 992501, Cost.avg = 992502.17, Cost.max = 992776
Gap.min = 0.0000%, Gap.avg = 0.0001%, Gap.max = 0.0277%
Trials.min = 76, Trials.avg = 76.0, Trials.max = 76
Time.min = 0.01 sec., Time.avg = 0.06 sec., Time.max = 0.12 sec.

