# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=100 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18157132/1.052089603 	18143269/1.3715563 	18141835/1.442168764 	18141835/1.493744062 	18141835/1.536118655 	18141835/1.578683774 	18141835/1.621838942 	18141835/1.663554156 	18141835/1.704191192 	18141835/1.748417132 	18141835/1.795928823 	18141835/1.84045451 	| 	18141835/1.417830459@16
18141835/2.665257938 	18139734/2.742105227 	18139546/2.806811134 	18139546/2.853010828 	18139546/2.904278042 	18139546/2.947318387 	18139546/2.990028416 	18139546/3.033340588 	18139546/3.076298126 	18139546/3.117253601 	18139546/3.15674838 	18139546/3.197440754 	| 	18139546/2.750437823@11
18139546/4.03094112 	18139546/4.106035308 	18139546/4.184206967 	18139546/4.279103153 	18139546/4.333080176 	18139546/4.376925551 	18139546/4.421155548 	18139546/4.464458217 	18139546/4.507871002 	18139546/4.547608921 	18139546/4.588978815 	18139546/4.626888854 	18139546/4.662325053 	| 	18139546/2.750437823@11
18139546/5.528036135 	18139546/5.601998223 	18139546/5.655834897 	18139546/5.703588976 	18139546/5.74646983 	18139546/5.789211977 	18139546/5.831963789 	18139546/5.875158755 	18139546/5.912689616 	18139546/5.950965453 	18139546/5.990121051 	| 	18139546/2.750437823@11
18139546/6.835363744 	18139546/6.924727815 	18139546/7.007090832 	18139546/7.073346251 	18139546/7.135579091 	18139546/7.193743165 	18139546/7.250992945 	18139546/7.305730916 	18139546/7.362008512 	18139546/7.416812444 	18139546/7.469673647 	18139546/7.521690024 	| 	18139546/2.750437823@11
18139546/8.35461862 	18139546/8.428180723 	18139294/8.498271742 	18139294/8.545689597 	18139294/8.588786694 	18139294/8.631497549 	18139294/8.6740546 	18139294/8.714726132 	18139294/8.754036257 	18139294/8.792068058 	18139294/8.830004413 	18139294/8.868259003 	| 	18139294/8.435234866@11
18139294/9.716902947 	18139294/9.792703188 	18139294/9.858568594 	18139294/9.919037097 	18139294/9.971130757 	18139294/10.022268537 	18139294/10.073129283 	18139294/10.120473364 	18139294/10.165906446 	18139294/10.211030309 	18139294/10.253899318 	18139294/10.29574867 	| 	18139294/8.435234866@11
18139294/11.161370524 	18139294/11.245638174 	18139294/11.362786909 	18139294/11.508552054 	18139294/11.613814859 	18139294/11.705621245 	18139294/11.760828094 	18139294/11.807237436 	18139294/11.848324729 	18139294/11.891989241 	18139294/11.932608708 	18139294/11.970998245 	18139294/12.008636565 	18139294/12.044655537 	18139294/12.080759113 	18139294/12.116564407 	| 	18139294/8.435234866@11
18139294/12.984800241 	18139294/13.061865383 	18139294/13.123852162 	18139294/13.177529976 	18139294/13.230329534 	18139294/13.281953836 	18139294/13.332387859 	18139294/13.380812037 	18139294/13.428308959 	18139294/13.473247199 	18139294/13.517576134 	| 	18139294/8.435234866@11
18139294/14.409462332 	18139294/14.488568733 	18139294/14.557385629 	18139294/14.605051927 	18139294/14.647987719 	18139294/14.691185568 	18139294/14.73364405 	18139294/14.775794542 	18139294/14.81937595 	18139294/14.861449332 	18139294/14.905700745 	18139294/14.947282212 	| 	18139294/8.435234866@11
18139294/15.8037846 	18139294/15.889432765 	18139294/15.976657643 	18139294/16.039400095 	18139294/16.091257851 	18139294/16.139895709 	18139294/16.188304701 	18139294/16.238468448 	18139294/16.286403927 	18139294/16.333256376 	18139294/16.382626072 	18139294/16.42887082 	| 	18139294/8.435234866@11
18139294/17.376997662 	18139294/17.46623279 	18139294/17.555776178 	18139294/17.634836611 	18139294/17.695695746 	18139294/17.751303521 	18139294/17.803177665 	18139294/17.853328806 	18139294/17.909380266 	18139294/17.983273265 	18139294/18.032905347 	| 	18139294/8.435234866@11
18139294/19.006243142 	18139294/19.087812711 	18139294/19.161162123 	18139294/19.222871237 	18139294/19.278484496 	18139294/19.347640097 	18139294/19.403276406 	18139294/19.454165314 	18139294/19.500936373 	18139294/19.547819808 	18139294/19.592677478 	18139294/19.636837672 	| 	18139294/8.435234866@11
