# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=10000 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18155649/1.18284721 	18139505/1.542935383 	18139505/1.657671465 	18139505/1.72578225 	18139505/1.786511307 	18139505/1.842199399 	18139505/1.890554962 	18139505/1.934903787 	18139505/1.978112394 	18139505/2.022310522 	18139505/2.067162292 	| 	18139505/1.50061129@8
18139505/2.921089575 	18139505/2.999136981 	18139505/3.06585761 	18139505/3.115396435 	18139505/3.159973625 	18139505/3.209347435 	18139505/3.253348337 	18139505/3.298964219 	18139505/3.346806935 	18139505/3.386149742 	18139505/3.426614865 	18139505/3.467036364 	| 	18139505/1.50061129@8
18139505/4.315729645 	18139505/4.387927252 	18139505/4.453637758 	18139505/4.503711735 	18139505/4.544429465 	18139505/4.58217656 	18139505/4.620448121 	18139505/4.656591017 	18139505/4.69192536 	18139505/4.728457293 	18139505/4.763029549 	| 	18139505/1.50061129@8
18139505/5.609920274 	18139374/5.681272626 	18139374/5.753946901 	18139374/5.807788572 	18139374/5.859354845 	18139374/5.908748438 	18139374/5.957593013 	18139374/6.006300699 	18139374/6.055909295 	18139374/6.099521855 	18139374/6.144470164 	18139374/6.190062992 	| 	18139374/5.681272626@10
18139374/7.073525725 	18139374/7.146634424 	18139374/7.213405381 	18139374/7.258365179 	18139374/7.29834898 	18139374/7.337581593 	18139374/7.375130867 	18139374/7.415098883 	18139374/7.454086198 	18139374/7.489757338 	18139374/7.525509617 	| 	18139374/5.681272626@10
18139374/8.388692226 	18139374/8.487919094 	18139374/8.590301457 	18139374/8.673463157 	18139374/8.748401476 	18139374/8.82204528 	18139374/8.893889767 	18139374/8.963098433 	18139374/9.032204972 	18139374/9.096175039 	18139374/9.158831184 	18139374/9.225016651 	18139374/9.285964987 	18139374/9.343464009 	18139374/9.393696951 	18139374/9.442357849 	18139374/9.488659082 	18139374/9.536930303 	18139374/9.584450526 	18139374/9.626212719 	18139374/9.666737062 	18139374/9.705693797 	| 	18139374/5.681272626@10
18139374/10.572317218 	18139374/10.648296707 	18139374/10.71578619 	18139374/10.77242363 	18139374/10.821864671 	18139374/10.872462827 	18139374/10.921177554 	18139374/10.969889668 	18139374/11.017800817 	18139374/11.063781264 	18139374/11.110530383 	18139374/11.155148877 	| 	18139374/5.681272626@10
18139374/12.048501965 	18139374/12.126014072 	18139374/12.190488602 	18139374/12.236947141 	18139374/12.280065654 	18139374/12.32213001 	18139374/12.362958685 	18139374/12.403420254 	18139374/12.444127773 	18139374/12.483756288 	18139374/12.521750121 	18139374/12.561907567 	| 	18139374/5.681272626@10
18139374/13.396141769 	18139374/13.472524332 	18139374/13.548338529 	18139374/13.607723065 	18139374/13.661830058 	18139374/13.71313111 	18139374/13.762228098 	18139374/13.810593081 	18139374/13.860160229 	18139374/13.907048005 	18139374/13.956460623 	| 	18139374/5.681272626@10
18139374/14.85008139 	18139374/14.930292362 	18139374/15.003417609 	18139374/15.062948645 	18139374/15.11483239 	18139374/15.163091167 	18139374/15.211648827 	18139374/15.258724533 	18139374/15.304655666 	18139374/15.350434004 	18139374/15.39684012 	| 	18139374/5.681272626@10
18139374/16.342378841 	18139374/16.439436014 	18139374/16.531187351 	18139374/16.611630436 	18139374/16.707259248 	18139374/16.795526837 	18139374/16.860810347 	18139374/16.919779543 	18139374/16.977530115 	18139374/17.032192729 	18139374/17.086747166 	18139374/17.138815614 	18139374/17.18824247 	18139374/17.237155995 	| 	18139374/5.681272626@10
