# [Initialization Information]
# Instance: TSP|Tnm1000.tsp
# Swarm Params: N=300 Nact=-1 Topology=FullConnect Solver=STD_PRB_3Opt_REAX+SEAX:isAlpha=true
# Terminate Condition: T=500 Tcon=100
# Misc Params: DUP_TIMES=10000 Tout=10
# 
# Topology: maosKernel.behavior.topology.FullConnectTopology|FullConnect
# R_T(AbsStateUpdater): maosKernel.behavior.update.BetterStateUpdater|R_T
# R_INI(AbsScratchSearch): maosKernel.behavior.scratch.LinkedScratchSearch|R_INI(scratchSearch=implement.TSP.behavior.construct.ReverseProbConstructor|R_SS(neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))),incumbentSearch=implement.TSP.behavior.greedy.Basic3OPT|R_LS(bit_Ratio=0.0,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false))))
# R_G(AbsMiniGenerator): maosKernel.behavior.generate.Switch2MGenerator|R_G(nScaleA=1.0,nScaleB=1.0,GeneratorA=maosKernel.behavior.generate.MiniSBILXGenerator|R_G1(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.RandEAXRecombinator|R_XS1(Cd=1.0,Nmtm=20,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)),GeneratorB=maosKernel.behavior.generate.MiniSBILXGenerator|R_G2(statePicker=maosKernel.behavior.pick.RandStatePicker|RStatePicker,recombinationSearch=implement.TSP.behavior.combine.eax.SortEAXRecombinator|R_XS2(Cd=1.0,Nmtm=10,nABCycle=100,neighborEngine=implement.TSP.behavior.neighbor.NearNeighborManager|R_NN(Knni=20,Knnm=MAXI,costMatrix=implement.TSP.behavior.misc.CostMatrixHandler|R_COST(isAlpha=true,isPI=false)),joinType=0)))
# 
# [Runtime Information]
# EvalV/Time@NCycle
18150101/1.193157826 	18139033/1.507483343 	18138384/1.613156502 	18138377/1.683210555 	18138377/1.733419102 	18138377/1.782202259 	18138377/1.830170595 	18138377/1.874368927 	18138377/1.916920733 	18138377/1.971222423 	18138377/2.013421979 	18138377/2.061799797 	18138377/2.105120925 	| 	18138377/1.620169987@21
18138377/2.859365927 	18138377/2.938333326 	18138377/3.008068775 	18138377/3.068682995 	18138377/3.134636028 	18138377/3.192898373 	18138377/3.243465179 	18138377/3.291944222 	18138377/3.336394058 	18138377/3.380804784 	18138377/3.425534492 	18138377/3.473599435 	18138377/3.514939409 	18138377/3.55712098 	| 	18138377/1.620169987@21
18138377/4.338607168 	18138377/4.408628976 	18137400/4.488188671 	18137400/4.55550112 	18137400/4.602804163 	18137400/4.648496872 	18137400/4.692586217 	18137400/4.733882553 	18137400/4.775150978 	18137400/4.816489335 	18137400/4.856554823 	18137400/4.895570994 	| 	18137400/4.429443512@13
18137400/5.663562624 	18137400/5.732102187 	18137400/5.790987397 	18137400/5.834546707 	18137400/5.877668605 	18137400/5.922736142 	18137400/5.966942028 	18137400/6.008537228 	18137400/6.047713259 	18137400/6.084506492 	18137400/6.121332667 	18137400/6.157292255 	| 	18137400/4.429443512@13
18137400/6.946156051 	18137400/7.032281469 	18137400/7.113980956 	18137400/7.175104888 	18137400/7.23315549 	18137400/7.285720787 	18137400/7.332514422 	18137400/7.378172003 	18137400/7.424008186 	18137400/7.468575274 	18137400/7.51310713 	18137400/7.555857303 	| 	18137400/4.429443512@13
18137400/8.325915063 	18137400/8.399720756 	18137400/8.460110196 	18137400/8.510641923 	18137400/8.56130277 	18137400/8.60844951 	18137400/8.656182256 	18137400/8.703031383 	18137400/8.747592773 	18137400/8.794603977 	18137400/8.839596953 	18137400/8.886468447 	| 	18137400/4.429443512@13
18137400/9.695460575 	18137400/9.770920274 	18137400/9.841091676 	18137400/9.901921393 	18137400/9.949202696 	18137400/9.994464315 	18137400/10.036703061 	18137400/10.07973012 	18137400/10.119057625 	18137400/10.15691378 	18137400/10.19410487 	18137400/10.230252584 	| 	18137400/4.429443512@13
18137400/11.031558587 	18137400/11.101502681 	18137400/11.159804202 	18137400/11.205759268 	18137400/11.250103915 	18137400/11.294172291 	18137400/11.338333008 	18137400/11.380797202 	18137400/11.424838703 	18137400/11.468505592 	18137400/11.512162156 	| 	18137400/4.429443512@13
18137400/12.320365585 	18137400/12.39648149 	18137400/12.467409011 	18137400/12.520339082 	18137400/12.568966094 	18137400/12.615588932 	18137400/12.660893969 	18137400/12.705763149 	18137400/12.750322307 	18137400/12.794957146 	18137400/12.836842748 	18137400/12.877927966 	| 	18137400/4.429443512@13
18137400/13.680413714 	18137400/13.770598844 	18137400/13.876863794 	18137400/13.966468713 	18137400/14.044026849 	18137400/14.111850889 	18137400/14.178794089 	18137400/14.239254729 	18137400/14.285747232 	18137400/14.328625423 	18137400/14.371438488 	18137400/14.41382285 	18137400/14.456280746 	18137400/14.498247874 	18137400/14.538925169 	18137400/14.581077703 	| 	18137400/4.429443512@13
18137400/15.414535179 	18137400/15.489967624 	18137400/15.553906449 	18137400/15.607622027 	18137400/15.653657637 	18137400/15.698485824 	18137400/15.741500969 	18137400/15.7830747 	18137400/15.825824289 	18137400/15.867211815 	18137400/15.909245273 	18137400/15.951240618 	18137400/15.994093758 	| 	18137400/4.429443512@13
